Название,Ссылка,Collection ID,Item ID,Created On,Updated On,Published On,Раздел,В группе,Название группы,Описание,Цена,Веган,Доставка,2 Советская,Римского-Корсакова,ВО,Позиция в списке,Фотография,Является группой
Финансье ,finansie,5fab84f647b9e10c06cef6ec,622229912abe846a6ef14f92,Fri Mar 04 2022 15:00:33 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:00:33 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),deserty,false,,Французский миндальный кекс с апельсином (100 г),220,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,11,,false
Flat White,flat-white,5fab84f647b9e10c06cef6ec,5fbe4313b58612789d087be4,Wed Nov 25 2020 11:42:11 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:56:40 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:58:49 GMT+0000 (Coordinated Universal Time),drinks,true,,,200,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,1.4,,false
Flat White на безлактозном молоке,flat-white-na-bezlaktoznom-moloke,5fab84f647b9e10c06cef6ec,612437518d232afcf7a3dd31,Tue Aug 24 2021 00:03:29 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:35:07 GMT+0000 (Coordinated Universal Time),,drinks,true,,,280,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,1.8,,false
Фреш апельсиновый,fresh-apelsinovyy,5fab84f647b9e10c06cef6ec,5fc4abcbad6f20548f95a15e,Mon Nov 30 2020 08:22:35 GMT+0000 (Coordinated Universal Time),Sun Oct 31 2021 00:31:24 GMT+0000 (Coordinated Universal Time),Sun Oct 31 2021 01:09:13 GMT+0000 (Coordinated Universal Time),drinks,true,,,220,true,true,2-sovetskaya,rimskogo-korsakova,,3.2,,false
Фриттата,fritta,5fab84f647b9e10c06cef6ec,5fc4c6943f9d351c354b0dab,Mon Nov 30 2020 10:16:52 GMT+0000 (Coordinated Universal Time),Tue Nov 23 2021 09:45:21 GMT+0000 (Coordinated Universal Time),Tue Nov 23 2021 09:45:21 GMT+0000 (Coordinated Universal Time),zavtraki,true,Фритатта,"Воздушный запеченный омлет по-итальянски, подается с хрустящими тостами",,false,false,2-sovetskaya,rimskogo-korsakova,,11.1,,false
Фриттата с овощами,frittata-po-italyanski,5fab84f647b9e10c06cef6ec,5fabe3e4d151f2bcc76aa86e,Wed Nov 11 2020 13:15:16 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:49:29 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,,С зелеными овощами и пармезаном (320 г),350,false,false,2-sovetskaya,rimskogo-korsakova,,11.2,,false
Фриттата с ветчиной,frittata-s-vetchinoy,5fab84f647b9e10c06cef6ec,5fabe3fc2eab7b73b8ca24c7,Wed Nov 11 2020 13:15:40 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:49:26 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,,"С ветчиной, шампиньонами и пармезаном (320 г)",350,false,false,2-sovetskaya,rimskogo-korsakova,,11.3,,false
Холодный кокосовый маття,holodnyy-kokosovyy-mattya,5fab84f647b9e10c06cef6ec,608ae2b35f98120871e2e043,Thu Apr 29 2021 16:45:39 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:03:33 GMT+0000 (Coordinated Universal Time),,drinks,true,,,280,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.8,,false
Холодный свекольник,holodnyy-svekolnik,5fab84f647b9e10c06cef6ec,608b1fc74e78c43c70e65818,Thu Apr 29 2021 21:06:15 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:47:55 GMT+0000 (Coordinated Universal Time),,supy-i-vtorye-blyuda,true,Холодный свекольник,"С пикантной свеклой, свежими овощами и языком молодого бычка су-вид, подается с хрустящими домашними тостами (450 г)",280,false,false,2-sovetskaya,rimskogo-korsakova,,1.1,,false
Холодный свекольник веган,holodnyy-svekolnik-vegan,5fab84f647b9e10c06cef6ec,608b1fe102206c7e3c3f0acd,Thu Apr 29 2021 21:06:41 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:47:58 GMT+0000 (Coordinated Universal Time),,supy-i-vtorye-blyuda,true,,"С пикантной свеклой и свежими овощами, подается с хрустящими домашними тостами (410 г)",280,true,false,2-sovetskaya,rimskogo-korsakova,,1.2,,false
Ice Раф Banana Shake,ice-raf-banana-shake,5fab84f647b9e10c06cef6ec,608ae1be52db4c6511ef82d5,Thu Apr 29 2021 16:41:34 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:00:29 GMT+0000 (Coordinated Universal Time),,drinks,true,,,280,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.2,,false
Immersion Dripper,immersion-dripper,5fab84f647b9e10c06cef6ec,608ae38ac6a85fa80aa77377,Thu Apr 29 2021 16:49:14 GMT+0000 (Coordinated Universal Time),Tue Aug 24 2021 00:04:57 GMT+0000 (Coordinated Universal Time),Tue Aug 24 2021 00:07:43 GMT+0000 (Coordinated Universal Time),drinks,true,Модный чёрный,,170,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,2.1,,false
Ириска,iriska,5fab84f647b9e10c06cef6ec,5fc4d8736532b7c440e4bb2c,Mon Nov 30 2020 11:33:07 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:57:45 GMT+0000 (Coordinated Universal Time),,deserty,false,,С разными вкусами на выбор (17 г),80,true,true,2-sovetskaya,rimskogo-korsakova,met-vo,10,,false
Капучино,kapuchino,5fab84f647b9e10c06cef6ec,5fbe41f3b7a16f506bf4dbe2,Wed Nov 25 2020 11:37:23 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:22:03 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:28:01 GMT+0000 (Coordinated Universal Time),drinks,true,,,200/250,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,1.2,,false
Капучино на безлактозном молоке,kapuchino-na-bezlaktoznom-moloke,5fab84f647b9e10c06cef6ec,612436ff91a2cb59fa7fd445,Tue Aug 24 2021 00:02:07 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:35:11 GMT+0000 (Coordinated Universal Time),,drinks,true,,,280/350,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,1.7,,false
Киш с беконом и томатами,kish-s-bekonom-i-tomatami,5fab84f647b9e10c06cef6ec,5fc4c5d68f677a31f4530978,Mon Nov 30 2020 10:13:42 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:48:17 GMT+0000 (Coordinated Universal Time),,zavtraki,true,Киш на домашнем французском тесте,С беконом и томатами черри (250 г),280,false,true,2-sovetskaya,rimskogo-korsakova,met-vo,7.1,,false
Киш с луком порей,kish-s-lukom-porei,5fab84f647b9e10c06cef6ec,5fc4c5ef0c1ad41890039d3c,Mon Nov 30 2020 10:14:07 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:48:14 GMT+0000 (Coordinated Universal Time),,zavtraki,true,,С сыром пармезан и луком порей (220 г),280,false,true,2-sovetskaya,rimskogo-korsakova,met-vo,7.2,,false
